file,contributions_count,minor
,2,1
ci/jenkins/files/testSuiteDeploy.Jenkinsfile,4,0
adc-k6-functional/scripts/verifyResults.py,2,0
adc-k6-functional/src/minIO-k6-scripts/sample.txt,1,0
.gitignore,1,0
.gitmodules,3,0
adc-app-eng-pipeline/adc-app-engineering-pipeline.iml,1,0
adc-app-eng-pipeline/pom.xml,1,0
adc-k6-functional/adc-k6-functional.iml,1,0
adc-k6-functional/charts/adc-k6pod.yaml,1,0
adc-k6-functional/charts/network-policy/eric-adc-k6-policy.yaml,1,0
adc-k6-functional/docker-compose.yaml,1,0
adc-k6-functional/pom.xml,1,0
bob,2,0
dev/docker-compose.yml,1,0
dev/grafana-dashboard.yaml,1,0
dev/grafana-datasource.yaml,1,0
dev/grafana-k6-docker-compose.yml,1,0
Dockerfile,1,0
ci/jenkins/rulesets/ruleset2.0.yaml,1,0
ci/jenkins/scripts/copy_report_k6.sh,1,0
ci/jenkins/scripts/deploy_testsuite.sh,1,0
adc-app-eng-pipeline/src/K6FunctionalTests.Jenkinsfile,3,2
adc-k6-functional/charts/network-policy/eric-adc-ctr-p-policy.yaml,1,0
adc-k6-functional/scripts/install_moc-ctr.sh,1,0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/VERSION,1,0
